Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
796,"ООО ""Вест-Сервис""",353,ЛиАЗ 529360,БВ,2013,Евро 4,В 242 ОН 178
797,"ООО ""Вест-Сервис""",2А,ЛиАЗ 529360,БВ,2013,Евро 4,В 161 ОН 178
798,"ООО ""Вест-Сервис""",354,ЛиАЗ 529360,БВ,2013,Евро 4,В 158 ОС 178
799,"ООО ""Вест-Сервис""",183,ЛиАЗ 529360,БВ,2013,Евро 4,В 191 ОН 178
800,"ООО ""Вест-Сервис""",185,ЛиАЗ 529360,БВ,2013,Евро 4,В 199 ОН 178
801,"ООО ""Вест-Сервис""",2А,ЛиАЗ 529360,БВ,2013,Евро 4,В 248 ОН 178
802,"ООО ""Вест-Сервис""",463,ЛиАЗ 529360,БВ,2013,Евро 4,В 249 ОН 178
803,"ООО ""Вест-Сервис""",353,ЛиАЗ 529360,БВ,2013,Евро 4,В 151 ОС 178
804,"ООО ""Вест-Сервис""",278,ЛиАЗ 529360,БВ,2013,Евро 4,В 245 ОН 178
805,"ООО ""Вест-Сервис""",183,ЛиАЗ 529360,БВ,2013,Евро 4,В 194 ОН 178
806,"ООО ""Вест-Сервис""",135,ЛиАЗ 529360,БВ,2013,Евро 4,В 190 ОН 178
807,"ООО ""Вест-Сервис""",2А,ЛиАЗ 529360,БВ,2013,Евро 4,В 180 ОС 178
808,"ООО ""Вест-Сервис""",2А,ЛиАЗ 529360,БВ,2013,Евро 4,В 183 ОС 178
809,"ООО ""Вест-Сервис""",388,ЛиАЗ 529360,БВ,2013,Евро 4,В 250 ОН 178
810,"ООО ""Вест-Сервис""",278,ЛиАЗ 529360,БВ,2013,Евро 4,В 246 ОН 178
811,"ООО ""Вест-Сервис""",135,ЛиАЗ 529360,БВ,2013,Евро 4,В 176 ОС 178
812,"ООО ""Вест-Сервис""",2А,ЛиАЗ 529360,БВ,2013,Евро 4,В 244 ОН 178
813,"ООО ""Вест-Сервис""",458А,ЛиАЗ 529360,БВ,2013,Евро 4,В 177 ОН 178
814,"ООО ""Вест-Сервис""",2А,ЛиАЗ 529360,БВ,2013,Евро 4,В 154 ОС 178
815,"ООО ""Вест-Сервис""",2А,ЛиАЗ 529360,БВ,2013,Евро 4,В 179 ОН 178
816,"ООО ""Вест-Сервис""",354,ЛиАЗ 529360,БВ,2013,Евро 4,В 180 ОН 178
817,"ООО ""Вест-Сервис""",135,ЛиАЗ 529360,БВ,2013,Евро 4,В 182 ОН 178
818,"ООО ""Вест-Сервис""",463А,ЛиАЗ 529360,БВ,2013,Евро 4,В 181 ОН 178
819,"ООО ""Вест-Сервис""",135,ЛиАЗ 529360,БВ,2013,Евро 4,В 959 ОС 178
820,"ООО ""Вест-Сервис""",685А,ЛиАЗ 525660,БВ,2013,Евро 4,Р 619 СР 178
821,"ООО ""Вест-Сервис""",684,ЛиАЗ 525660,БВ,2013,Евро 4,Р 621 СР 178
822,"ООО ""Вест-Сервис""",683,ЛиАЗ 525660,БВ,2013,Евро 4,Р 622 СР 178
823,"ООО ""Вест-Сервис""",687,ЛиАЗ 525660,БВ,2013,Евро 4,Р 623 СР 178
824,"ООО ""Вест-Сервис""",687,ЛиАЗ 525660,БВ,2013,Евро 4,Р 624 СР 178
825,"ООО ""Вест-Сервис""",687,ЛиАЗ 525660,БВ,2013,Евро 4,Р 625 СР 178
826,"ООО ""Вест-Сервис""",301,ЛиАЗ 529360,БВ,2013,Евро 4,Р 468 СР 178
827,"ООО ""Вест-Сервис""",149,ЛиАЗ 529360,БВ,2013,Евро 4,В 080 СС 178
828,"ООО ""Вест-Сервис""",443,ЛиАЗ 529360,БВ,2013,Евро 4,В 083 СС 178
829,"ООО ""Вест-Сервис""",149А,ЛиАЗ 529360,БВ,2013,Евро 4,В 082 СС 178
830,"ООО ""Вест-Сервис""",278,ЛиАЗ 529360,БВ,2013,Евро 4,В 093 СС 178
831,"ООО ""Вест-Сервис""",350,ЛиАЗ 529360,БВ,2013,Евро 4,В 090 СС 178
832,"ООО ""Вест-Сервис""",454,ЛиАЗ 529360,БВ,2013,Евро 4,В 088 СС 178
833,"ООО ""Вест-Сервис""",454,ЛиАЗ 529360,БВ,2013,Евро 4,В 086 СС 178
834,"ООО ""Вест-Сервис""",392А,ЛиАЗ 529360,БВ,2013,Евро 4,Р 585 СР 178
835,"ООО ""Вест-Сервис""",388,ЛиАЗ 529360,БВ,2013,Евро 4,Р 045 СТ 178
836,"ООО ""Вест-Сервис""",301,ЛиАЗ 529360,БВ,2013,Евро 4,Р 923 СР 178
837,"ООО ""Вест-Сервис""",301,ЛиАЗ 529360,БВ,2013,Евро 4,Р 932 СР 178
838,"ООО ""Вест-Сервис""",385,ЛиАЗ 529360,БВ,2013,Евро 4,Р 936 СР 178
839,"ООО ""Вест-Сервис""",135,ЛиАЗ 529360,БВ,2014,Евро 4,В 188 ТК 178
840,"ООО ""Вест-Сервис""",183,ЛиАЗ 529360,БВ,2014,Евро 4,В 187 ТК 178
841,"ООО ""Вест-Сервис""",388,ЛиАЗ 529360,БВ,2014,Евро 4,В 180 ТК 178
842,"ООО ""Вест-Сервис""",183,ЛиАЗ 529360,БВ,2014,Евро 4,В 193 ТК 178
843,"ООО ""Вест-Сервис""",185,ЛиАЗ 529360,БВ,2014,Евро 4,В 191 ТК 178
844,"ООО ""Вест-Сервис""",185,ЛиАЗ 529360,БВ,2014,Евро 4,В 194 ТК 178
845,"ООО ""Вест-Сервис""",135,ЛиАЗ 529360,БВ,2014,Евро 4,В 195 ТК 178
846,"ООО ""Вест-Сервис""",135,ЛиАЗ 529360,БВ,2014,Евро 4,В 196 ТК 178
847,"ООО ""Вест-Сервис""",388,ЛиАЗ 529360,БВ,2014,Евро 4,В 182 ТК 178
848,"ООО ""Вест-Сервис""",385,ЛиАЗ 529360,БВ,2014,Евро 4,В 202 ТК 178
849,"ООО ""Вест-Сервис""",388,ЛиАЗ 529360,БВ,2014,Евро 4,В 203 ТК 178
850,"ООО ""Вест-Сервис""",301,ЛиАЗ 529360,БВ,2014,Евро 4,В 206 ТК 178
851,"ООО ""Вест-Сервис""",Резерв,ЛиАЗ 529360,БВ,2014,Евро 4,В 178 ТК 178
852,"ООО ""Вест-Сервис""",388,ЛиАЗ 529360,БВ,2014,Евро 4,В 192 ТК 178
853,"ООО ""Вест-Сервис""",301,ЛиАЗ 529360,БВ,2014,Евро 4,В 190 ТК 178
854,"ООО ""Вест-Сервис""",385,ЛиАЗ 529360,БВ,2014,Евро 4,В 186 ТК 178
855,"ООО ""Вест-Сервис""",385,ЛиАЗ 529360,БВ,2014,Евро 4,В 204 ТК 178
856,"ООО ""Вест-Сервис""",185,ЛиАЗ 529360,БВ,2014,Евро 4,В 189 ТК 178
857,"ООО ""Вест-Сервис""",185,ЛиАЗ 529360,БВ,2014,Евро 4,В 185 ТК 178
858,"ООО ""Вест-Сервис""",301,ЛиАЗ 529360,БВ,2014,Евро 4,В 201 ТК 178
859,"ООО ""Вест-Сервис""",194,ЛиАЗ 529360,БВ,2014,Евро 4,В 177 ТК 178
860,"ООО ""Вест-Сервис""",388,ЛиАЗ 529360,БВ,2014,Евро 4,В 179 ТК 178
861,"ООО ""Вест-Сервис""",194,ЛиАЗ 529360,БВ,2014,Евро 4,В 176 ТК 178
862,"ООО ""Вест-Сервис""",388,ЛиАЗ 529360,БВ,2014,Евро 4,В 200 ТК 178
863,"ООО ""Вест-Сервис""",392А,ЛиАЗ 529360,БВ,2014,Евро 4,В 205 ТК 178
864,"ООО ""Вест-Сервис""",388,ЛиАЗ 529360,БВ,2014,Евро 4,В 181 ТК 178
865,"ООО ""Вест-Сервис""",392А,ЛиАЗ 529360,БВ,2014,Евро 4,В 184 ТК 178
866,"ООО ""Вест-Сервис""",301,ЛиАЗ 529360,БВ,2014,Евро 4,В 210 ТК 178
867,"ООО ""Вест-Сервис""",392А,ЛиАЗ 529360,БВ,2014,Евро 4,В 209 ТК 178
868,"ООО ""Вест-Сервис""",392А,ЛиАЗ 529360,БВ,2014,Евро 4,В 211 ТК 178
869,"ООО ""Вест-Сервис""",392А,ЛиАЗ 529360,БВ,2014,Евро 4,В 208 ТК 178
870,"ООО ""Вест-Сервис""",301,ЛиАЗ 529360,БВ,2014,Евро 4,В 207 ТК 178
871,"ООО ""Вест-Сервис""",392А,ЛиАЗ 529360,БВ,2014,Евро 4,В 212 ТК 178
872,"ООО ""Вест-Сервис""",К-3МЕГА,ПАЗ 320412-05,СВ,2011,Евро 3,В 135 ВУ 178
873,"ООО ""Вест-Сервис""",К-3МЕГА,ПАЗ 320412-05,СВ,2011,Евро 3,В 141 ВУ 178
874,"ООО ""Вест-Сервис""",К-3МЕГА,ПАЗ 320412-05,СВ,2011,Евро 3,В 134 ВУ 178
875,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2011,Евро 3,В 139 ВУ 178
876,"ООО ""Вест-Сервис""",К-3МЕГА,ПАЗ 320412-05,СВ,2011,Евро 3,В 270 ВН 178
877,"ООО ""Вест-Сервис""",К-3МЕГА,ПАЗ 320412-05,СВ,2011,Евро 3,В 265 ВН 178
878,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2011,Евро 3,В 059 ЕВ 178
879,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2011,Евро 3,В 060 ЕВ 178
880,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2011,Евро 3,В 061 ЕВ 178
881,"ООО ""Вест-Сервис""",К-3МЕГА,ПАЗ 320412-05,СВ,2011,Евро 3,В 054 ЕВ 178
882,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2011,Евро 3,В 052 ЕВ 178
883,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2011,Евро 3,В 064 ЕВ 178
884,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2011,Евро 3,В 051 ЕВ 178
885,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2011,Евро 3,В 063 ЕВ 178
886,"ООО ""Вест-Сервис""",К-4МЕГА,ПАЗ 320412-05,СВ,2012,Евро 3,В 011 МО 178
887,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 013 МО 178
888,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 017 МО 178
889,"ООО ""Вест-Сервис""",К-4МЕГА,ПАЗ 320412-05,СВ,2012,Евро 3,В 034 МО 178
890,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 035 МО 178
891,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 037 МО 178
892,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 038 МО 178
893,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 040 МО 178
894,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 041 МО 178
895,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 042 МО 178
896,"ООО ""Вест-Сервис""",К-4МЕГА,ПАЗ 320412-05,СВ,2012,Евро 3,В 247 МО 178
897,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 249 МО 178
898,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 256 МО 178
899,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 257 МО 178
900,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 281 МО 178
901,"ООО ""Вест-Сервис""",461,ПАЗ 320412-05,СВ,2012,Евро 3,В 286 МО 178
902,"ООО ""Вест-Сервис""",К-4МЕГА,ПАЗ 320412-05,СВ,2012,Евро 3,В 304 МО 178
903,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2012,Евро 3,В 309 МО 178
904,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 342 МО 178
905,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 344 МО 178
906,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 346 МО 178
907,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2012,Евро 3,В 353 МО 178
908,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 345 МО 178
909,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 335 МО 178
910,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 352 МО 178
911,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 351 МО 178
912,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 350 МО 178
913,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2012,Евро 3,В 348 МО 178
914,"ООО ""Вест-Сервис""",К-195,ПАЗ 320412-05,СВ,2012,Евро 3,В 349 МО 178
915,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 347 МО 178
916,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 390 МО 178
917,"ООО ""Вест-Сервис""",462,ПАЗ 320412-05,СВ,2012,Евро 3,В 398 МО 178
918,"ООО ""Вест-Сервис""",К-195,ПАЗ 320412-05,СВ,2012,Евро 3,В 408 МО 178
919,"ООО ""Вест-Сервис""",К-195,ПАЗ 320412-05,СВ,2012,Евро 3,В 401 МО 178
920,"ООО ""Вест-Сервис""",129,ПАЗ 320412-05,СВ,2012,Евро 3,В 407 МО 178
921,"ООО ""Вест-Сервис""",К-195,ПАЗ 320412-05,СВ,2012,Евро 3,В 403 МО 178
922,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 404 МО 178
923,"ООО ""Вест-Сервис""",К-3МЕГА,ПАЗ 320412-05,СВ,2012,Евро 3,В 388 МО 178
924,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2012,Евро 3,В 394 МО 178
925,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 399 МО 178
926,"ООО ""Вест-Сервис""",К-195,ПАЗ 320412-05,СВ,2012,Евро 3,В 400 МО 178
927,"ООО ""Вест-Сервис""",К-195,ПАЗ 320412-05,СВ,2012,Евро 3,В 405 МО 178
928,"ООО ""Вест-Сервис""",К-195,ПАЗ 320412-05,СВ,2012,Евро 3,В 447 МО 178
929,"ООО ""Вест-Сервис""",К-195,ПАЗ 320412-05,СВ,2012,Евро 3,В 448 МО 178
930,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2012,Евро 3,В 450 МО 178
931,"ООО ""Вест-Сервис""",К-245,ПАЗ 320412-05,СВ,2012,Евро 3,В 445 МО 178
932,"ООО ""Вест-Сервис""",К-176,ПАЗ 320412-05,СВ,2012,Евро 3,В 435 МО 178
933,"ООО ""Вест-Сервис""",К-2,ПАЗ 320412-05,СВ,2012,Евро 3,В 476 МО 178
934,"ООО ""Вест-Сервис""",К-3МЕГА,ПАЗ 320412-05,СВ,2012,Евро 3,В 492 МО 178
935,"ООО ""Вест-Сервис""",К-4МЕГА,ПАЗ 320412-05,СВ,2012,Евро 3,В 484 МО 178
936,"ООО ""Вест-Сервис""",К-176,ПАЗ 320412-05,СВ,2012,Евро 3,В 031 НВ 178
937,"ООО ""Вест-Сервис""",К-45,ПАЗ 320412-05,СВ,2012,Евро 3,В 042 НВ 178
938,"ООО ""Вест-Сервис""",К-4МЕГА,ПАЗ 320412-05,СВ,2012,Евро 3,В 907 НЕ 178
939,"ООО ""Вест-Сервис""",К-403,ПАЗ 320402-05,СВ,2012,Евро 3,В 962 НЕ 178
940,"ООО ""Вест-Сервис""",К-153,ПАЗ 320402-05,СВ,2012,Евро 3,В 966 НЕ 178
941,"ООО ""Вест-Сервис""",К-165,ПАЗ 320402-05,СВ,2012,Евро 3,В 965 НЕ 178
942,"ООО ""Вест-Сервис""",К-191,ПАЗ 320402-05,СВ,2012,Евро 3,В 978 НЕ 178
943,"ООО ""Вест-Сервис""",К-445А,ПАЗ 320402-05,СВ,2012,Евро 3,В 979 НЕ 178
944,"ООО ""Вест-Сервис""",К-153,ПАЗ 320402-05,СВ,2012,Евро 3,В 980 НЕ 178
945,"ООО ""Вест-Сервис""",К-165,ПАЗ 320402-05,СВ,2012,Евро 3,В 041 НН 178
946,"ООО ""Вест-Сервис""",К-445А,ПАЗ 320402-05,СВ,2012,Евро 3,В 133 НН 178
947,"ООО ""Вест-Сервис""",К-403,ПАЗ 320402-05,СВ,2012,Евро 3,В 132 НН 178
948,"ООО ""Вест-Сервис""",129,ПАЗ 320402-05,СВ,2012,Евро 3,В 090 НО 178
949,"ООО ""Вест-Сервис""",К-165,ПАЗ 320402-05,СВ,2012,Евро 3,В 150 НН 178
950,"ООО ""Вест-Сервис""",К-153,ПАЗ 320402-05,СВ,2012,Евро 3,В 080 НО 178
951,"ООО ""Вест-Сервис""",К-403,ПАЗ 320402-05,СВ,2012,Евро 3,В 097 НО 178
952,"ООО ""Вест-Сервис""",К-153,ПАЗ 320402-05,СВ,2012,Евро 3,В 328 НО 178
953,"ООО ""Вест-Сервис""",К-87,ПАЗ 320402-05,СВ,2012,Евро 3,В 346 НО 178
954,"ООО ""Вест-Сервис""",К-165,ПАЗ 320402-05,СВ,2012,Евро 3,В 341 НО 178
955,"ООО ""Вест-Сервис""",К-84,БТД 2219-0000013,СВ,2011,Евро 4,В 901 ВА 178
956,"ООО ""Вест-Сервис""",К-84,БТД 2219-0000013,СВ,2011,Евро 4,В 916 ВА 178
957,"ООО ""Вест-Сервис""",К-197,БТД 2219-0000013,СВ,2011,Евро 4,В 049 ЕХ 178
958,"ООО ""Вест-Сервис""",К-84,БТД 2219-0000013,СВ,2011,Евро 4,В 915 ВА 178
959,"ООО ""Вест-Сервис""",К-197,БТД 2219-0000013,СВ,2011,Евро 4,В 043 ЕХ 178
960,"ООО ""Вест-Сервис""",К-403,ПАЗ 320402-05,СВ,2012,Евро 3,В 330 НО 178
961,"ООО ""Вест-Сервис""",К-153,ПАЗ 320402-05,СВ,2012,Евро 3,В 337 НО 178
962,"ООО ""Вест-Сервис""",К-165,ПАЗ 320402-05,СВ,2012,Евро 3,В 348 НО 178
963,"ООО ""Вест-Сервис""",К-191,ПАЗ 320402-05,СВ,2012,Евро 3,В 815 НС 178
964,"ООО ""Вест-Сервис""",К-403,ПАЗ 320402-05,СВ,2012,Евро 3,В 835 НС 178
965,"ООО ""Вест-Сервис""",К-191,ПАЗ 320402-05,СВ,2012,Евро 3,В 853 НС 178
966,"ООО ""Вест-Сервис""",К-165,ПАЗ 320402-05,СВ,2012,Евро 3,В 865 НС 178
967,"ООО ""Вест-Сервис""",К-165,ПАЗ 320402-05,СВ,2012,Евро 3,В 852 НС 178
968,"ООО ""Вест-Сервис""",К-153,ПАЗ 320402-05,СВ,2012,Евро 3,В 858 НС 178
969,"ООО ""Вест-Сервис""",К-403,ПАЗ 320402-05,СВ,2012,Евро 3,В 823 НС 178
970,"ООО ""Вест-Сервис""",К-344,ПАЗ 320402-05,СВ,2012,Евро 3,В 840 НС 178
971,"ООО ""Вест-Сервис""",К-176,ПАЗ 320402-05,СВ,2012,Евро 3,В 873 НС 178
972,"ООО ""Вест-Сервис""",К-445А,ПАЗ 320402-05,СВ,2012,Евро 3,В 893 НС 178
973,"ООО ""Вест-Сервис""",К-403,ПАЗ 320402-05,СВ,2012,Евро 3,В 428 НУ 178
974,"ООО ""Вест-Сервис""",К-153,ПАЗ 320402-05,СВ,2012,Евро 3,В 433 НУ 178
975,"ООО ""Вест-Сервис""",К-153,ПАЗ 320402-05,СВ,2012,Евро 3,В 442 НУ 178
976,"ООО ""Вест-Сервис""",К-403,ПАЗ 320402-05,СВ,2012,Евро 3,В 458 НУ 178
977,"ООО ""Вест-Сервис""",К-245,ПАЗ 320402-05,СВ,2012,Евро 3,В 453 НУ 178
978,"ООО ""Вест-Сервис""",К-87,ПАЗ 320402-05,СВ,2012,Евро 3,В 452 НУ 178
979,"ООО ""Вест-Сервис""",К-87,ПАЗ 320402-05,СВ,2012,Евро 3,В 451 НУ 178
980,"ООО ""Вест-Сервис""",К-87,ПАЗ 320402-05,СВ,2012,Евро 3,В 462 НУ 178
981,"ООО ""Вест-Сервис""",К-87,ПАЗ 320402-05,СВ,2012,Евро 3,В 465 НУ 178
982,"ООО ""Вест-Сервис""",К-87,ПАЗ 320402-05,СВ,2012,Евро 3,В 488 НУ 178
983,"ООО ""Вест-Сервис""",К-87,ПАЗ 320402-05,СВ,2012,Евро 3,В 487 НУ 178
984,"ООО ""Вест-Сервис""",К-87,ПАЗ 320402-05,СВ,2012,Евро 3,В 489 НУ 178
985,"ООО ""Вест-Сервис""",К-445А,ПАЗ 320402-05,СВ,2012,Евро 3,В 491 НУ 178
986,"ООО ""Вест-Сервис""",К-445А,ПАЗ 320402-05,СВ,2012,Евро 3,В 453 НХ 178
987,"ООО ""Вест-Сервис""",К-445А,ПАЗ 320402-05,СВ,2012,Евро 3,В 495 НУ 178
988,"ООО ""Вест-Сервис""",К-344,ПАЗ 320402-05,СВ,2012,Евро 3,В 492 НУ 178
989,"ООО ""Вест-Сервис""",К-445А,ПАЗ 320402-05,СВ,2012,Евро 3,В 497 НУ 178
990,"ООО ""Вест-Сервис""",К-165,ПАЗ 320402-05,СВ,2012,Евро 3,В 498 НУ 178
991,"ООО ""Вест-Сервис""",К-445А,ПАЗ 320402-05,СВ,2012,Евро 3,В 500 НУ 178
992,"ООО ""Вест-Сервис""",К-445А,ПАЗ 320402-05,СВ,2012,Евро 3,В 496 НУ 178
993,"ООО ""Вест-Сервис""",К-165,ПАЗ 320402-05,СВ,2012,Евро 3,В 466 НХ 178
994,"ООО ""Вест-Сервис""",К-153,ПАЗ 320402-05,СВ,2012,Евро 3,В 460 НХ 178
